,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
906,frozenset({'LA MER'}),frozenset({'CLE DE PEAU BEAUTE'}),0.03362453984811271,0.006737991448162664,0.0015759644605146564,0.046869472939511846,6.956000656886016,0.0013494025985696682,1.0421049167474647
907,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'LA MER'}),0.006737991448162664,0.03362453984811271,0.0015759644605146564,0.23389232127096202,6.956000656886016,0.0013494025985696682,1.261409442801945
908,frozenset({'LA PRAIRIE'}),frozenset({'CLE DE PEAU BEAUTE'}),0.0017618093261413848,0.006737991448162664,0.00027207688327753033,0.15443037974683546,22.919349324633828,0.0002602058271046965,1.1746661478382507
909,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'LA PRAIRIE'}),0.006737991448162664,0.0017618093261413848,0.00027207688327753033,0.040379523389232126,22.919349324633828,0.0002602058271046965,1.0402426949031796
910,frozenset({'LANCOME'}),frozenset({'CLE DE PEAU BEAUTE'}),0.07436024763456656,0.006737991448162664,0.0010853340152600936,0.014595621313605917,2.1661679783796544,0.0005842953026151262,1.0079740155771562
911,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'LANCOME'}),0.006737991448162664,0.07436024763456656,0.0010853340152600936,0.16107678729037953,2.1661679783796544,0.0005842953026151262,1.1033664801999328
912,frozenset({'LANEIGE'}),frozenset({'CLE DE PEAU BEAUTE'}),0.03997300045792175,0.006737991448162664,0.0003479015884532355,0.008703414416424905,1.2916927074459523,7.85638532103565e-05,1.0019826790456512
913,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'LANEIGE'}),0.006737991448162664,0.03997300045792175,0.0003479015884532355,0.05163283318623124,1.2916927074459523,7.85638532103565e-05,1.0122946398149602
914,frozenset({'LAURA MERCIER'}),frozenset({'CLE DE PEAU BEAUTE'}),0.04978263584516298,0.006737991448162664,0.00065268716808107,0.013110739457651415,1.9457934250163662,0.00031725219348936577,1.0064574094219918
915,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'LAURA MERCIER'}),0.006737991448162664,0.04978263584516298,0.00065268716808107,0.09686672550750221,1.9457934250163664,0.00031725219348936577,1.052134154495412
916,frozenset({'LOCCITANE'}),frozenset({'CLE DE PEAU BEAUTE'}),0.023728672443220678,0.006737991448162664,0.0006809355876563327,0.02869674185463659,4.258946019063545,0.0005210519956576587,1.022607512352427
917,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'LOCCITANE'}),0.006737991448162664,0.023728672443220678,0.0006809355876563327,0.10105913503971756,4.258946019063545,0.0005210519956576587,1.0860239706645372
918,frozenset({'MAC'}),frozenset({'CLE DE PEAU BEAUTE'}),0.15108444195990509,0.006737991448162664,0.0014302620858633013,0.009466640425113165,1.404964743268494,0.00041225640798703256,1.0027547269868038
919,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'MAC'}),0.006737991448162664,0.15108444195990509,0.0014302620858633013,0.21226831421006176,1.4049647432684942,0.00041225640798703256,1.0776709549125238
920,frozenset({'NARS'}),frozenset({'CLE DE PEAU BEAUTE'}),0.06109538450559319,0.006737991448162664,0.0007790616767072453,0.012751563526634707,1.8924873420716262,0.0003674014983863487,1.0060912449757364
921,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'NARS'}),0.006737991448162664,0.06109538450559319,0.0007790616767072453,0.11562224183583407,1.8924873420716262,0.0003674014983863487,1.061655618118925
922,frozenset({'ORIGINS'}),frozenset({'CLE DE PEAU BEAUTE'}),0.03435899875706954,0.006737991448162664,0.0005724021861303234,0.016659454781479878,2.472466002613083,0.0003408915463377572,1.0100895497308233
923,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'ORIGINS'}),0.006737991448162664,0.03435899875706954,0.0005724021861303234,0.08495145631067962,2.472466002613083,0.0003408915463377572,1.0552893700585873
924,frozenset({'PAUL & JOE'}),frozenset({'CLE DE PEAU BEAUTE'}),0.001357410898537624,0.006737991448162664,0.00010407312475096787,0.07667031763417305,11.378808985440275,9.492690172497857e-05,1.0757392809108275
925,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'PAUL & JOE'}),0.006737991448162664,0.001357410898537624,0.00010407312475096787,0.015445719329214474,11.378808985440276,9.492690172497857e-05,1.0143093262680025
926,frozenset({'POLA'}),frozenset({'CLE DE PEAU BEAUTE'}),0.0017915445046416613,0.006737991448162664,0.00011596719615107849,0.06473029045643154,9.606763522100106,0.00010389578459980016,1.0620059630035172
927,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'POLA'}),0.006737991448162664,0.0017915445046416613,0.00011596719615107849,0.01721094439541041,9.606763522100104,0.00010389578459980016,1.0156894297945585
928,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'SHISEIDO'}),0.006737991448162664,0.062408192636380394,0.0012503642559366283,0.18556928508384818,2.9734763537387225,0.0008298583876574092,1.1512235358905238
929,frozenset({'SHISEIDO'}),frozenset({'CLE DE PEAU BEAUTE'}),0.062408192636380394,0.006737991448162664,0.0012503642559366283,0.02003525824280541,2.9734763537387225,0.0008298583876574092,1.0135691277737189
930,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'SHU UEMURA'}),0.006737991448162664,0.02409144162092405,0.0006764753108812913,0.10039717563989409,4.167337813138443,0.000514147383265595,1.0848215812052913
931,frozenset({'SHU UEMURA'}),frozenset({'CLE DE PEAU BEAUTE'}),0.02409144162092405,0.006737991448162664,0.0006764753108812913,0.028079486546531723,4.167337813138443,0.000514147383265595,1.021958066326368
932,frozenset({'SISLEY'}),frozenset({'CLE DE PEAU BEAUTE'}),0.008290167765877099,0.006737991448162664,0.0006675547573312083,0.08052367288378766,11.950693838554084,0.0006116956778208946,1.08024750530233
933,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'SISLEY'}),0.006737991448162664,0.008290167765877099,0.0006675547573312083,0.09907325684024713,11.950693838554086,0.0006116956778208946,1.1007663383994721
934,frozenset({'SKII'}),frozenset({'CLE DE PEAU BEAUTE'}),0.04329144637855261,0.006737991448162664,0.0005590213558051989,0.012912974792224741,1.91644273988295,0.00026732396032791894,1.006255763865159
935,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'SKII'}),0.006737991448162664,0.04329144637855261,0.0005590213558051989,0.08296557811120918,1.91644273988295,0.00026732396032791894,1.043263514199326
936,frozenset({'SULWHASOO'}),frozenset({'CLE DE PEAU BEAUTE'}),0.022057555411505135,0.006737991448162664,0.0006378195788309317,0.028916149905634944,4.2915088462333815,0.0004891959591008361,1.0228385617321483
937,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'SULWHASOO'}),0.006737991448162664,0.022057555411505135,0.0006378195788309317,0.09466019417475728,4.2915088462333815,0.0004891959591008361,1.080193799384611
938,frozenset({'SUQQU'}),frozenset({'CLE DE PEAU BEAUTE'}),0.0019015646650926846,0.006737991448162664,0.00021260652627697724,0.11180609851446442,16.593386823747313,0.00019979379982545443,1.1182941099804578
939,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'SUQQU'}),0.006737991448162664,0.0019015646650926846,0.00021260652627697724,0.03155339805825243,16.593386823747313,0.00019979379982545443,1.0306179332280245
